Snack Name,Brand,Snack Category,Snack Type,Plant-Based,Units Sold (in Millions),Revenue (in Millions)
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.43,11.45
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.86,14.06
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.88,13.61
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.46,9.83
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.59,10.63
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.74,10.82
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.83,13.76
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.8,9.36
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.38,9.66
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.43,13.16
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.35,9.28
Snickers,Mars,Chocolate,Sweet,No,15.23,13.79
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.85,9.78
Snickers,Mars,Chocolate,Sweet,No,9.16,8.13
Snickers,Mars,Chocolate,Sweet,No,9.86,9.11
Snickers,Mars,Chocolate,Sweet,No,9.01,8.01
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.23,7.75
Snickers,Mars,Chocolate,Sweet,No,12.64,10.47
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.09,16.58
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.95,8.89
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.99,8.02
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.51,10.72
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.26,11.09
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.02,18.05
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.76,12.96
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,7.53,9.45
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.84,11.9
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.61,7.95
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.26,8.43
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.07,8.54
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.31,11.48
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.03,9.14
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,6.24,5.21
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.74,11.52
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.52,8.31
Snickers,Mars,Chocolate,Sweet,No,11.81,10.08
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.82,8.98
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.05,9.06
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.49,10.3
Snickers,Mars,Chocolate,Sweet,No,14.08,13.75
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.7,8.79
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,14.08,16.94
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,13.08,13.32
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.49,12.54
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.17,12.5
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.24,9.21
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,14.02,13.18
Snickers,Mars,Chocolate,Sweet,No,9.2,8.41
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.84,9.98
Snickers,Mars,Chocolate,Sweet,No,7.9,7.21
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.23,7.51
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.11,11.79
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.99,9.98
Snickers,Mars,Chocolate,Sweet,No,11.46,10.59
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.42,17.59
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.95,7.81
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.94,12.77
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,3.9,3.14
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.83,10.81
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.39,6.67
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.49,8.06
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.28,11.67
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,17.01,21.76
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.51,9.56
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.43,9.66
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.44,8.02
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.62,12.22
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.35,11.39
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.38,7.27
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.63,9.23
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.94,9.06
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.98,12.88
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.55,11.3
Snickers,Mars,Chocolate,Sweet,No,11.72,9.9
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.18,17.45
Snickers,Mars,Chocolate,Sweet,No,11.27,9.67
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.94,16.06
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.14,9.58
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.01,14.45
Snickers,Mars,Chocolate,Sweet,No,11.17,9.88
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.34,12.64
Snickers,Mars,Chocolate,Sweet,No,10.82,9.77
Snickers,Mars,Chocolate,Sweet,No,12.23,11.42
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.99,12.25
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.95,13.84
Snickers,Mars,Chocolate,Sweet,No,10.96,10.35
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.96,11.11
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.31,14.35
Snickers,Mars,Chocolate,Sweet,No,7.36,6.99
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,17.49,21.59
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.2,14.63
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.48,12.4
Snickers,Mars,Chocolate,Sweet,No,11.93,10.55
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.12,10.87
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.75,11.06
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.63,19.81
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.3,10.28
Snickers,Mars,Chocolate,Sweet,No,7.98,7.47
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,7.31,10.19
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.82,10.24
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.57,16.67
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.8,7.46
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.6,16.2
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,10.21,9.69
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.09,11.18
Snickers,Mars,Chocolate,Sweet,No,11.16,10.34
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.15,7.94
Snickers,Mars,Chocolate,Sweet,No,11.78,11.05
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.04,8.4
Snickers,Mars,Chocolate,Sweet,No,10.72,10.48
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.5,9.89
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.84,10.56
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.61,10.94
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.64,8.65
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.68,11.97
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.74,8.79
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.08,14.2
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.42,10.6
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.22,5.88
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.26,8.66
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.24,6.38
Snickers,Mars,Chocolate,Sweet,No,11.07,10.16
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.77,9.47
Snickers,Mars,Chocolate,Sweet,No,9.15,8.22
Snickers,Mars,Chocolate,Sweet,No,12.56,11.54
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.63,6.82
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.43,5.45
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.9,16.6
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.29,12.29
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.91,15.04
Snickers,Mars,Chocolate,Sweet,No,7.54,6.32
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.84,10.32
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.91,11.21
Snickers,Mars,Chocolate,Sweet,No,8.54,8.01
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.28,14.16
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.04,9.37
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,5.65,5.49
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.49,9.6
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.33,11.96
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.68,9.37
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.55,14.25
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.18,12.0
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,3.86,3.36
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.41,14.29
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.22,11.3
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.32,13.69
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.51,8.51
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.65,7.24
Snickers,Mars,Chocolate,Sweet,No,13.77,13.09
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.84,9.35
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.26,8.79
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.42,12.62
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.64,5.18
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.27,10.45
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.29,8.1
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.87,9.77
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.2,14.26
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.85,15.41
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.41,14.6
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.81,16.6
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.36,11.9
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.75,19.36
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.74,13.58
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.67,6.79
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.93,10.08
Snickers,Mars,Chocolate,Sweet,No,12.09,11.18
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.17,8.28
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.4,7.5
Snickers,Mars,Chocolate,Sweet,No,15.29,12.59
Snickers,Mars,Chocolate,Sweet,No,10.48,9.32
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.7,7.47
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.01,19.04
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.38,6.91
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.01,11.4
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.1,6.48
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,7.83,10.16
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.85,10.7
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.18,12.43
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.45,9.27
Snickers,Mars,Chocolate,Sweet,No,13.82,12.29
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.49,8.89
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.57,10.54
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.8,15.27
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.57,14.19
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.82,8.13
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.57,8.53
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.18,8.34
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.26,10.65
Snickers,Mars,Chocolate,Sweet,No,10.06,9.06
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.79,13.23
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.28,9.54
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.21,10.25
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.67,12.72
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.25,11.64
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.5,17.42
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,17.28,22.19
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.16,4.35
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.82,8.5
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.36,14.27
Snickers,Mars,Chocolate,Sweet,No,9.62,9.08
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.11,12.51
Snickers,Mars,Chocolate,Sweet,No,12.31,11.37
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.97,12.74
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.05,8.79
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.45,9.17
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.56,10.82
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.24,12.64
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.99,5.84
Snickers,Mars,Chocolate,Sweet,No,6.22,5.4
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.04,11.74
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.38,18.03
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.66,9.5
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.95,11.32
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.33,9.01
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.43,8.26
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.87,5.25
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.86,9.35
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.71,6.77
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.58,7.86
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.49,13.95
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.54,12.82
Snickers,Mars,Chocolate,Sweet,No,11.9,9.87
Snickers,Mars,Chocolate,Sweet,No,11.75,10.63
Snickers,Mars,Chocolate,Sweet,No,10.18,9.41
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.11,14.4
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.1,13.09
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.37,14.66
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.85,17.15
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.1,15.19
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.72,11.16
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.56,12.9
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.32,9.82
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.44,10.68
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.47,9.8
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.85,13.73
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.63,16.71
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.8,8.46
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.65,20.47
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.56,20.04
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.02,12.91
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.08,12.66
Snickers,Mars,Chocolate,Sweet,No,11.75,10.74
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.35,13.11
Snickers,Mars,Chocolate,Sweet,No,14.23,13.96
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.64,10.99
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,4.93,4.22
Snickers,Mars,Chocolate,Sweet,No,11.55,10.81
Snickers,Mars,Chocolate,Sweet,No,12.39,10.89
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,14.19,17.55
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.25,9.99
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.84,9.85
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.32,8.41
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.76,6.74
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.65,11.83
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.86,13.21
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.32,9.2
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.18,7.3
Snickers,Mars,Chocolate,Sweet,No,15.36,12.25
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.37,10.58
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.49,8.07
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.8,12.63
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.57,11.84
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.62,10.19
Snickers,Mars,Chocolate,Sweet,No,9.92,8.32
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.05,12.32
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.92,18.53
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.95,14.33
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.79,9.89
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,6.84,5.58
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.55,7.84
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.97,7.98
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.72,10.34
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.8,11.18
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.23,12.95
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.86,7.91
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.12,6.38
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.34,13.06
Snickers,Mars,Chocolate,Sweet,No,15.2,13.18
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.34,11.06
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.31,8.18
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.14,8.51
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.69,6.22
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.39,9.11
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.99,11.58
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.47,20.65
Snickers,Mars,Chocolate,Sweet,No,10.55,9.04
Snickers,Mars,Chocolate,Sweet,No,9.87,9.25
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.59,15.64
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,5.98,6.05
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.76,19.16
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.62,12.47
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.73,7.37
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.07,10.72
Snickers,Mars,Chocolate,Sweet,No,12.79,12.61
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.21,18.25
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.65,11.63
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.35,7.04
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.06,11.33
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.23,12.01
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.61,9.73
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.77,14.31
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.77,13.36
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.89,8.82
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.87,12.02
Snickers,Mars,Chocolate,Sweet,No,9.69,9.05
Snickers,Mars,Chocolate,Sweet,No,11.17,9.62
Snickers,Mars,Chocolate,Sweet,No,12.41,10.89
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.06,5.74
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.87,11.81
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.25,9.03
Snickers,Mars,Chocolate,Sweet,No,9.69,8.92
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.91,9.51
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.01,8.02
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.4,9.93
Snickers,Mars,Chocolate,Sweet,No,11.08,9.94
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.89,8.53
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,16.15,13.42
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.73,8.09
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.23,9.88
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.57,7.84
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.41,12.25
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.38,9.62
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.35,10.04
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.34,8.82
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.97,19.85
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.85,7.68
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.45,11.38
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.08,7.89
Snickers,Mars,Chocolate,Sweet,No,11.32,10.45
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.23,13.25
Snickers,Mars,Chocolate,Sweet,No,9.15,8.85
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.07,11.27
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.7,12.88
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.86,8.98
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.57,7.85
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.84,9.82
Snickers,Mars,Chocolate,Sweet,No,12.26,10.97
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.24,12.69
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.82,13.01
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.79,7.14
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.53,10.27
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.22,11.5
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.53,8.22
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.92,7.28
Snickers,Mars,Chocolate,Sweet,No,4.51,4.23
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.33,7.98
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.86,12.36
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.47,10.23
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.1,7.7
Snickers,Mars,Chocolate,Sweet,No,11.66,10.47
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.75,10.75
Snickers,Mars,Chocolate,Sweet,No,13.27,11.8
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.14,9.22
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.44,7.63
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.44,6.81
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.59,9.88
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.9,14.05
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.73,10.96
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.36,15.08
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.93,14.56
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.77,8.38
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.75,9.51
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,7.95,10.16
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.04,6.82
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.61,10.38
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.3,12.9
Snickers,Mars,Chocolate,Sweet,No,9.23,8.06
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.61,9.19
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.69,12.51
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.83,13.34
Snickers,Mars,Chocolate,Sweet,No,12.99,10.99
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.97,11.27
Snickers,Mars,Chocolate,Sweet,No,12.04,11.09
